WorkerId,payment,date
A3QXFWX1PVH5MJ,2.4$,07/12/2021
A10249252O9I20MRSOBVF,2.4$,07/12/2021
A2FXD55FJV1RSV,2.4$,07/12/2021
A14B0YCUB99SK9,2.4$,07/12/2021
A2P53AN2M8IWFP,2.4$,07/12/2021
A21ZK49H9LSSRY,2.4$,07/12/2021
A3V1VK1A3NYN17,2.4$,07/12/2021
A3IFDI7BVD94AP,2.4$,07/12/2021
A3LUZHGA37YF1A,2.4$,08/12/2021
A26QFU0KO0L5HO,1.2$,08/12/2021
AYW62R027PUT1,1.2$,08/12/2021
A20UYKB1DO0J8Y,1.2$,08/12/2021
ABW8U1U74P8MI,1.2$,08/12/2021
AYVJ1AI4VLWU9,2.4$,14/12/2021
A3L59AK9RX2EJT,2.4$,14/12/2021
A2WC2NO555XU3J,2.4$,14/12/2021
AIV1PB1IW69JH,2.4$,14/12/2021
A2EI075XZT9Y2S,2.4$,14/12/2021
AYVJ1AI4VLWU9,2.4$,14/12/2021
A3L59AK9RX2EJT,2.4$,14/12/2021
A2WC2NO555XU3J,2.4$,14/12/2021
AIV1PB1IW69JH,2.4$,14/12/2021
A2EI075XZT9Y2S,2.4$,14/12/2021
A3UDUHUVFKD833,2.4$,15/12/2021
A8C3WNWRBWUXO,2.4$,15/12/2021
A2AGS81MDXHIYS,2.4$,15/12/2021
A1R1E7TZ9OHFIG,2.4$,15/12/2021
A129ZL26EECX0B,1.2$,15/12/2021
A1JJYY622DGE5L,2.4$,15/12/2021
A21UA6O7ZFAIQJ,1.2$,15/12/2021
A9IYXJT90J0NK,1.2$,15/12/2021
